t͡ʃ ɔ ɹ	chore
b ɛ l j u a ɪ n	belluine
uː d ə ʊ	udo
ɑː ɹ k ɪ v ɪ s t	archivist
b l ʌ f ɚ	bluffer
b ɔ l z i	ballsy
p ə h o ʊ i h o ʊ i	pahoehoe
n e ɪ t ə l	natal
s æ l m ə d i	psalmody
æ m a ɪ d	amide
m a ɪ n t s	Mainz
s ə b ɜː ɹ b i ə n	suburbian
ɪ l j u s ɪ v	elusive
t ɛ ɹ ə n s	Terence
b e ɪ s ə n	basin
p ɝ b l a ɪ n d	purblind
s k ɒ t͡ʃ m ə n	Scotchman
ə s t ɑː ɹ t	astart
w iː d ɪ ŋ	weeding
k ə l o ʊ n	Cologne
s t ə k ɑː t o ʊ	staccato
p æ ɹ ə	para
b æ l i b ʌ n i ə n	Ballybunion
ɑː t͡ʃ uː	achoo
m ɪ s i	Missy
e ɪ v ə n d e ɪ l	Avondale
s uː d	sued
k ɹ o ʊ n i	crony
j u b ɪ k w ɪ t ə s	ubiquitous
k ɒ ɹ ə l ə ɹ i	corollary
æ l t ɪ m ɪ t ɚ	altimeter
t ɑ d	Tod
θ j uː z	thews
z ɪ ɹ	xyr
ɡ e ɪ l	Gayle
l uː iː z i æ n ə	Louisiana
j ʊ ə ɹ o ʊ p i ə m	europium
p ɹ ɪ k ɜː ɹ s ɪ v	precursive
f ɪ n d ɹ ɪ n i	findrinny
s k w iː k s	squeaks
æ f ɹ o ʊ d	afroed
s ʌ b t ə l	subtile
h o ʊ θ	Howth
æ n ɪ k d o ʊ t	anecdote
k ɹ ɪ n ɪ t	crinet
v ɪ ɹ iː	viri
ɡ æ l v ə n ɑ m ə t ɚ	galvanometer
f ʌ ŋ k ʃ ə n z	functions
ɹ ɪ ɡ ɹ iː d i ə n s	regredience
s ʌ p l ə m ə n t	supplement
k ɔː t ə ɹ a ɪ z e ɪ ʃ ə n	cauterization
k l a ɪ m æ t ɪ k l i	climatically
d͡ʒ æ p ə n iː z	Japanese
æ k t iː ə n	Actaeon
z ɪ l ɒ f ɪ h æ d	Zelophehad
j ʊ ə ɹ ə ʊ s ɪ s	urosis
v ə l ʌ p t͡ʃ ʊ ɛ ɹ i	voluptuary
k ɹ ɪ t ɪ k ə l i	critically
ɹ ʌ ʃ	rush
d ɪ k h ɛ d	dickhead
s o ʊ l	soul
ʃ ɛ n d	shend
ɪ n ɹ o ʊ d	inroad
t o ʊ k ɑ k ɹ ə s i	ptochocracy
d ɪ m iː n	demesne
ə d͡ʒ ʌ s t ɪ d	adjusted
d e ɪ n d͡ʒ ɚ z	dangers
b ɛ k w i	Bequia
ʌ n ɹ iː z ə n ə b l̩	unreasonable
s æ f a ɪ̯ ɚ	sapphire
æ n ə l ɔ ɡ	analog
t͡ʃ æ p l ɪ d ɨ d	chapleted
ɪ ɹ ɪ t e ɪ ʃ ə n	irritation
f l æ p	flap
b ɜ ɹ ɡ ɹ e ɪ v	burgrave
m æ l ɪ k	malic
ɛ s k ə p e ɪ d	escapade
t o ʊ b l ə ɹ o ʊ n	Toblerone
b æ m b uː i	bambooey
ɡ l iː n z	gleans
m ɑ d	mod
l ɒ d͡ʒ e ɪ	logge
ɹ æ k ə ɹ	racker
f ɪ ɡ j ə ɹ e ɪ ʃ ə n	figuration
k ə m p l a ɪ ə n t	compliant
m ɛ t ɹ o ʊ n ɪ m	metronym
n ɪ m f ə l ɛ p s i	nympholepsy
p ɑ s t ɚ n	postern
s ɪ ɹ ə ɫ a ɪ z	Cyrillize
v æ s ə l ɪ d͡ʒ	vassalage
ɒ p	op
s ə l a ɪ v ə s	salivous
ə d͡ʒ iː n ɔː	Agenor
m a ɪ ə l ɪ n	myelin
b ə s u t ə ʊ l æ n d	Basutoland
l ɪ ŋ ɡ w ɑ l ɪ s	lingualis
s a ɪ z ə b ə l	sizable
æ l uː	aloo
b l o ʊ ɪ ŋ	blowing
k ɑ m ə l ɪ ʃ ə n	commolition
s l ɛ d	sled
b æ b ɪ l ɒ n ɪ k	Babylonic
ɡ ʌ n a ɪ t	gunite
d æ n a ɪ t	Danite
p ʌ b l ɪ s a ɪ z	publicise
ð ɚ	their
n o ʊ ʃ ə n z	notions
ɡ ʌ b ɪ n d͡ʒ	gubinge
p o ʊ s t p r ə s iː d͡ʒ ə r	postprocedure
k ɑ n v ɪ k t	convict
d ʌ l s ɪ n iː ə	Dulcinea
k ɹ uː d l i	crudely
d ʌ n s	dunce
s ə s ɪ ŋ k t	succinct
ɪ n t ɹ æ n s ə d͡ʒ ə n t	intransigent
ɹ iː ə f ɛ n d ə ɹ	reoffender
l æ ɹ ɪ ŋ k s	larynx
m i æ n d ɚ	meander
k ɪ l d	killed
f æ ɡ s ə n t	fagcent
d ɪ n d	dinned
ɛ k s ə k ɹ e ɪ ʃ ə n	execration
ɪ n t j uː ɪ t ɪ v n ə s	intuitiveness
k ə l æ b ɹ iː ə	Calabria
k ɒ n k j ə b ɪ n ɛ ə ɹ i ə n	concubinarian
k ɹ æ m p i	crampy
n ɪ m b ə s	nimbus
s ə m b ɹ ɛ ɹ o ʊ	sombrero
p ɹ iː m iː ə m	premium
h ə m ʌ ŋ k j ə l ə s	homunculus
k ɔ ŋ ɡ o ʊ	Congo
m ə n ɑ t n i	monotony
v æ d ʒ ɪ n ɒ m ɪ t ə ɹ	vaginometer
s ɔ m ə l j ɛ ɹ	sommelière
ʃ i ɹ d	sheared
s ɪ n ɪ ə ɹ i ə s	cinereous
w a ɪ v	wive
z iː k	Zeek
ɛ l ɪ m ə n t s	elements
f æ s n ɚ	fastener
ɛ m f ɪ z i m ə	emphysema
l ʌ l	lull
l ɪ p ɪ d	lipid
m ɑ n i m ə l i m n i ə n	monimolimnion
d ɔː k	dawk
ʃ ə m ɑː n	shaman
p ə ɡ æ n ɪ k	paganic
f iː m e ɪ l i ə	femalia
ʌ n p ɒ s ɪ b ə l	unpossible
æ s ɪ t ɒ k s ə l ə ʊ n	acetoxolone
ɹ ɛ f j uː s	refuse
d ɔ ɹ l i f	doorleaf
b o ʊ b ɛ ʃ	bobèche
t e ɪ p ɪ ə ɹ	tapir
h ə w a ɪ j ə n	Hawaiian
ɡ ɹ o ʊ s ə ɹ i	grocery
d͡ʒ ɝ z i	jersey
ə n æ s t ə m o ʊ z	anastomose
n ɔ p l i ə s	nauplius
æ b s ɜː d ə	absurda
ɪ d i ə ʊ s ɪ ŋ k ɹ æ t ɪ k	idiosyncratic
d ɔː l i	Dawley
z ɛ p ə l ɪ n	Zeppelin
f ɝ n æ n d o ʊ	Fernando
ʃ æ ŋ ʃ ʌ ŋ	xiangsheng
p ɹ ɑ d͡ʒ ɪ k t	project
d ɪ ʃ ə l	appendiceal
k ə ɹ ɪ s m ə s	Kiritimati
p ɹ a ɪ m ə ɹ i	primary
ɪ n b ɑ k s	inbox
t w e ɪ n	twain
h uː t s	hoots
z ɑ ɡ ɹ ɛ b i ə n	Zagrebian
t ɹ æ n z d͡ʒ ɛ n d ə ɹ d	transgendered
ə ɡ ɹ a ʊ n d	aground
m j ɑ n m ɑ ɹ	Myanmar
s k ɪ l f ə l	skilful
h a ɪ p o ʊ l ɛ m ə	hypolemma
k ɚ k u b ɹ i	Kirkcudbright
æ b d͡ʒ ʊ ɹ	abjure
f ɛ l t ə ɹ	felter
h iː z ə n t	he'sn't
f ɹ i h o ʊ l e ɪ s	frijoles
ɛ θ n ə ʊ ɹ ɪ l ɪ d͡ʒ ə s	ethnoreligious
t ɹ a ɪ m ɛ θ ɪ l æ s ɪ t e ɪ t	trimethylacetate
v æ ɡ ə b ɑ n d	vagabond
ɪ ɹ ɛ l ə v ə n t	irrelevant
p ə ɹ oː ɡ i	pierogi
ʃ ɛ ɹ ə l	Cheryl
ɡ ʊ l b ɛ ŋ k i ə n	Gulbenkian
t ɹ æ n s l e ɪ t ɪ d	translated
k ɑ n l æ ŋ	conlang
d ə b j uː	debut
b æ n ɪ ʃ ɪ z	banishes
t ɪ ɹ ɪ ŋ	tearing
s uː z ə	Susa
n ʌ k	NUC
k u l i	coulee
d ɪ s t ɪ l ə t	distillate
æ p l ɪ k e ɪ ɚ	appliquer
d a ɪ ə t ɪ t ɪ ʃ ə n	dietetician
h ɛ ɹ o ʊ ɪ z ə m	heroism
s t u p ɪ d ɪ t i	stupidity
ɹ ɪ b ə ʊ d ɪ k ɪ n z	ribauldequins
d ɹ a ɪ ɚ	dryer
æ l b ə s e ɪ t e ɪ	Albacete
p ɛ n ɪ ŋ z	pennings
ɡ ɹ iː n z p ɒ n d	Greenspond
j ɑ h ə ɹ	Yahir
w ɔ ʃ a ʊ t	washout
l æ f a ɪ ɛ t	lafayette
h ɛ ɹ ɪ d ɪ t ə m ə n t	hereditament
s n iː t͡ʃ	Sneetch
s l e ɪ	slay
w a ɪ ə m ɪ s ɪ ŋ	Wyomissing
n æ t	gnat
f o ʊ̯ n ə l ɑ d͡ʒ ɪ k ə l	phonological
k ɑ z m ɑ ɡ ə n i	cosmogony
k ə m b æ t ɪ v	combative
ɡ æ ŋ ɪ ŋ	ganging
z o ʊ t ə ɹ o ʊ l ɪ m ə s	zotarolimus
s t æ t l ɚ	Statler
ɹ ɪ v j uː	revue
k e ɪ b	CAIB
ɛ m p a ʊ ə ɹ	empower
f ɑː l k ə n	falcon
k ɛ ɹ ə ɡ i n	carrageen
f iː l i	feely
ʃ ɪː	shii
s u b ə	tsuba
s æ f ɹ ə n	saffron
n ɛ k ɪ d	nekkid
ʃ m uː z	schmooze
z u n ɑ t ɪ k	zoonotic
ʌ n l o ʊ d	unload
k l æ v ɪ k j ə l ɚ	clavicular
p iː t	peet
j ɛ s ɪ z	yeses
m ɛ ɹ i	mere
l æ n d f o ʊ k	landfolk
f l iː m	fleam
w ɛ t ɚ	whetter
d͡ʒ ʌ d	Judd
ɪ m p e ɪ l ɪ ŋ	impaling
p ɚ p l ɛ k s t	perplexed
p j uː t ɹ ə f æ k ʃ ə n	putrefaction
m ʌ l t i k ʌ l t͡ʃ ə ɹ ə l	multicultural
m ɑ ɹ ʃ ə l	Martial
p æ s k	pasque
ɒ s t ə n t e ɪ ʃ ə s	ostentatious
s æ l o ʊ w ɪ ʃ	sallowish
k l ʌ m	clumb
w e ɪ w ə ɹ d n ə s	waywardness
k ʌ l ə ɹ ə t	colorate
d͡ʒ ɛ m ɪ n iː	Gemini
ɡ l ə t ɒ ɡ ə n i	glottogony
ɡ ɹ o ʊ s b iː k	grosbeak
p ɜ ɹ s ə n	person
e ɪ b i s i d æ ɹ i ə	abecedaria
s ɒ ŋ s t ɚ	songster
s ʌ m b ʌ d i	somebody
t ɪ ə ɹ d	teared
ə p ɪ n i e ɪ t	opiniate
ɒ m n ɪ d ɪ ɹ ɛ k ʃ ə n ə l	omnidirectional
ɹ a ʊ n d ə ɹ z	rounders
m a ʊ z ə l	Mousehole
s k ɹ ə f iː t o ʊ	sgraffito
d ɛ k ɑː ɹ k	decarch
b i	be
f ɔ ɪ l ɪ ŋ z	foilings
æ s p ɛ k t	aspect
m ɝ s ə n ɛ ɹ i	mercenary
ɪ n t ɹ uː ʒ ə n	intrusion
p ɛ n ɪ t ɛ n ʃ ə l	penitential
h ɪ p i ɪ ʃ	hippyish
s a ɪ b ə ɹ	cyber
ʌ p s ɪ l ɑ n	upsilon
l ɛ ə ɹ i	lairy
ɪ n t ɹ ə n t	intrant
k ə n ɔː r ə	Kenora
ɹ ɛ t ɹ o ʊ	retro
ɹ ɪ n a ɪ	reny
ʃ a ɪ n d	shined
f l iː m i	fleamy
s ɛ v ə ɹ ə ɹ	severer
æ l p ɹ æ z ə l æ m	alprazolam
ɹ ɛ t ɹ ə f l ɛ k s	retroflex
s ɚ m a ʊ n t	surmount
t e ɪ s t i	tasty
s ʌ ɹ ə p t ɪ ʃ ə s	surreptitious
f a ɪ n a ɪ t	finite
s æ n ɪ t ɛ ə ɹ i ə m	sanitarium
l iː v a ɪ	Levi
b ɑ m	balm
ʌ f ɪ ʃ	uffish
d͡ʒ i ə m ɛ t ɹ ɪ k ə l	geometrical
ɪ d i ɑ k ɹ ə s i	idiocracy
s u p ɚ b i ɪ ŋ	superbeing
d ɹ o ʊ v d	droved
k æ m ə ɹ ə n	Cameron
ɹ i ɪ n æ k t	reenact
ɡ l æ s t ə n b ə ɹ i	Glastonbury
k ə m p iː t ɪ ŋ	competing
b ɹ e ɪ ʒ ə ɹ	brazier
ɹ ɒ m	Rom
ɡ ɹ e ɪ θ	graith
s t e ɪ b ə l	stable
s ɪ ɡ n ɪ f a ɪ ə n s	signifiance
m e ɪ n t ə n ə n s	maintenance
k æ p	cap
ʍ ɪ t b i	Whitby
o ʊ n ə b l̩	ownable
l ʌ m b ɚ	lumber
k w ɔ ɹ t ə ɹ ɑː ɹ o ʊ	Quartararo
f ɑ l o ʊ	follow
o ʊ l d i	oldie
s ə p a ɪ t	sopite
d ɝ p	derp
d͡ʒ uː n z	Junes
ɡ ɹ ə s i n i	grissini
s ə s p ɛ n d ɪ d	suspended
d ɛ v z	devs
m ɒ d ə ɹ e ɪ t ə ɹ	moderator
ɛ n v ə l o ʊ p	envelope
t͡ʃ ɪ z ɪ k	Chiswick
s k i d u	Skidoo
t ʃ ɪ t ʃ	Chich
s ə ɹ ɛ p t ɪ ʃ ə n	surreptition
d͡ʒ iː l	geal
æ b d ɑ m ɪ n o ʊ h ɪ s t ɚ ɹ ɑ t ə m i	abdominohysterotomy
ɪ k s t ɹ iː m ə	extrema
s u p i	soupy
k ə l ɪ ɡ ɹ ə f i	calligraphy
d͡ʒ æ p	Jap
k ɪ n d ə ɹ ɡ ɑː ɹ d ə n	kindergarten
t s ɑ n	Zhan
ə l i v i e ɪ t	alleviate
h ɑː n ə k ə	Hanukkah
k w ɪ n t ɪ l j ə n	quintillion
æ t ɑː ɹ	attar
p j ɚ	pure
l a ɪ m ə ɹ	limer
t ɹ æ p ə z ɔ ɪ d	trapezoid
ɑ p ə z ɪ t	opposite
ɪ d i ə s ɪ ŋ k ɹ ə s i	idiosyncrasy
s t ə t ɪ s t ɪ k	statistic
ɹ ɛ m ə ɹ ə	remora
p ɹ ɒ k t ə d iː ə m	proctodeum
ɡ ʌ n z	guns
æ b d ʌ k t o ɹ i z	abductores
ɛ k s p o ʊ z	expose
k ɔ ɪ n e ɪ	koine
i k ə n ɑ m ɪ k	economic
b a ʊ t	bout
m ɛ θ ɪ l t ɹ a ɪ iː n ə l o ʊ n	methyltrienolone
d ɪ t ɛ k ʃ ə n	detection
k w e ɪ s a ɪ	quasi
ə b l a ɪ d͡ʒ ɪ ŋ	obliging
ɹ æ m p ɑː ɹ t	rampart
ɡ ɹ e ɪ p s	grapes
n ɛ t ɪ z ə n ɹ i	netizenry
æ k t i ə m	Actium
æ ɹ ə b ɪ k	Arabic
k o ʊ f ɛ f iː	cofeoffee
k ɹ ə ʃ ɛ n d o ʊ	crescendo
t͡ʃ ɑ ɹ l i n	Charlyne
ə n ʌ l	Anal
v æ s t ə t i	vastity
n uː b i	newbie
k w ɑ s i ə	quassia
l æ m ɪ n ə	laminar
d ə m iː t ə ɹ	Demeter
t͡ʃ w iː	Twi
p ə t ɑː k ə	pataca
d o ʊ l ə s	dolus
m ɜː ɹ d	merd
ə p ɑ m	appam
ɹ ɛ d ə l ə n s	redolence
s ɪ m t i	SMPTE
z æ l s ɪ t ə b i n	zalcitabine
d a ɪ ə z ɑ k s a ɪ d	diazoxide
t ɪ ŋ k t͡ʃ ɚ	tincture
ɹ æ d l̩ d	raddled
s p i s i e ɪ ʃ ə n	speciation
l e ɪ t ɛ k	LaTeX
ə ɡ ɹ ɑː n ə m ɪ s t	agronomist
p ɛ z ə n t ɹ i	peasantry
l o ʊ l ə	Lola
k ɹ ɪ n ə l ɪ n	crinoline
ə b s t i m i ə s l i	abstemiously
b uː ɹ o ʊ s	Borås
d͡ʒ o ʊ n	Joanne
l ɪ ɡ m ə	ligma
b æ m b i n o ʊ	bambino
s ʌ l ɪ v ə n	Sullivan
æ l p a ɪ n	Alpine
ɡ ɑ t n̩	gotten
h ɑ ɹ k ɪ b ʌ s	harquebus
æ k ə ɹ ɔ ɪ d	acaroid
ɪ ɡ n ə ɹ ə n t	ignorant
æ k ə d i m j ə	academia
k ɪ s t v a ɪ n	kistvaen
m ɑ ɹ t i n ə	Martina
s t ɪ ŋ	sting
ə b ɪ s o ʊ b ɜ n t θ ɪ k	abyssobenthic
p ɛ n t s ə l	pencil
h ɛ l ə n ə	Helena
æ ŋ ɡ l ə s f ɪ ɹ	Anglosphere
k l ɪ k ɪ ŋ	clicking
ɪ p s w ɪ t͡ʃ	Ipswich
m ə l o ʊ m i z	melomys
æ l k ə h ɒ l ə d ʒ i	alcohology
ə θ ɔ ɹ ə t ɑː	authoritah
m ɔː ɹ b i ə n	Morbihan
b ə l ɛ t ɪ k	balletic
k ə b uː l	Kabul
t͡ʃ ɛ k ə	chequer
h a ɪ d ɹ ə f ə ʊ b ɪ k	hydrophobic
k ɪ l ɪ m ə n d͡ʒ ɑː ɹ ə ʊ	Kilimanjaro
h ə f t ɔː ɹ ə	Haftarah
ɡ ɹ i v z	Greaves
ɪ ɡ z uː b ə ɹ ə n t	exuberant
s ɝ k j ʊ l e ɪ ʃ ə n	circulation
d o ʊ b j uː t ə m iː n	dobutamine
h ɪ s t ə ɹ i ɒ n ə m ə ɹ	historionomer
p ʌ n d͡ʒ ə n t	pungent
l iː ə n	Leon
k ɑ m b ɪ n e ɪ ʃ ə n z	combinations
ɪ n t ɚ n æ ʃ ə n æ l	Internationale
ɔ i l ɑ k ɹ ə s i	oilocracy
m æ ɡ n ə n ɪ m ɪ t i	magnanimity
h ʌ n d ə ʊ	hundo
f ɹ ɪ d͡ʒ ɪ d	frigid
t ɛ n d ɪ ŋ	tending
s æ l j u t e ɪ ʃ ə n	salutation
k ɑ ɡ ə j ɑ n	Cagayan
k ə m p ɹ a ɪ z d	comprised
f e ɪ n t	faint
ɹ ɪ z ɪ s t ɪ d	resisted
k ə n f j uː ʒ ə n	confusion
p ɔ ɪ z ə n b ɛ ɹ i	poisonberry
ʍ i l h a ʊ s	wheelhouse
ɡ ɔ d i	gaudy
d ʌ l ə h æ n	Dullaghan
f o ʊ l d͡ʒ ə r	Folger
ɹ u p ə ʊ f ə ʊ b i k	rupophobic
ə s i ɹ i ɪ n	Assyrian
s ɔː ɹ d s m ɪ θ	swordsmith
ɡ uː f t	goofed
ɹ o ʊ t n̩	Rhoten
θ o ʊ w ə l	thowel
f ɹ ɛ ʃ m ə n	freshman
ð e ɪ	they
m ɛ n s t ɹ u ə l	menstrual
j ɛ l	yell
v a ɪ n z	vines
ð	th'
h o ʊ l i	wholly
ɡ l ə ʊ z ə ɹ	glozer
k l a ɪ ə n t ɛ l	clientèle
ɒ l ɪ ɡ ə ʊ s iː m ɪ k	oligosemic
b ɜː ɹ ɡ ʌ n d ɪ ə n	Burgundian
ɪ ɹ ɪ t ɹ e ɪ ə	Eritrea
ɪ m p æ ɹ ɪ s ɪ l æ b ɪ k	imparisyllabic
ʃ æ m b ɔː d	Chambord
ɪ n f l ɪ k t ɪ d	inflicted
k ə ɹ ɑ t s ɪ n	karozzin
f ɹ a ʊ z i	frowzy
k ɹ a ɪ̯	krai
ɪ n ə p ɹ o ʊ p ɹ i ə t	inappropriate
k ə ʊ b l ɛ s	cobless
t ɛ n d ɛ n ʃ ə s	tendentious
ɛ k w a ɪ n	equine
f ɔ ɹ θ ɔ t f ʊ l	forethoughtful
h o ʊ w ə ɹ θ	Howarth
s p ʌ d͡ʒ ɚ	spudger
w ɑ ɹ ə n t i	warranty
p ʊ ʃ t͡ʃ ɛ ə ɹ	pushchair
p ɹ o ʊ b ɛ n ə s ɪ d	probenecid
ɹ i o ʊ	Rio
f l ɒ k s ɪ n ɔː s ɪ n a ɪ h ɪ l ɪ p ɪ l ɪ f ɪ k e ɪ ʃ ə s	floccinaucinihilipilificatious
ɪ m b ɛ l ɪ ʃ m ə n t	embellishment
s l ɪ p ɪ f n i	sleepiphany
t iː	T
m ɛ ɹ ɪ t o ʊ ɹ i ə s	meritorious
m ɪ s s ɪ ɡ n ə l	missignal
b ɜː ɹ ɡ o ʊ	Burgo
d ɑː ɹ ʊ m ə	daruma
t͡ʃ ɪ ɹ ə p	chirrup
æ ɹ ə n d ə	Arrernte
l ɔ n d ɚ	launder
ɡ æ n	GaN
n j ʊ r o ʊ ə n æ t ə m i	neuroanatomy
k ɛ l i	Kelly
n j u z	news
ɪ n s t ɪ t u ʃ ə n ə l i	institutionally
ɪ v æ n ə v ɪ t͡ʃ	Ivanovich
l uː t iː ʃ ə n	Lutetian
ʍ ɔː ɹ t ə n	Wharton
k ɛ t s ɑ l	quetzal
ə n iː m ɪ k	anemic
f j u n æ m b j ə l e ɪ t	funambulate
ʌ m b ɹ ɪ f ə ɹ ə s l i	umbriferously
j ʊ ɹ iː θ ɹ ə l	urethral
ə b ɛ d͡ʒ	abegge
z a ʊ ɚ s w ɑ p t	zowerswopped
t w æ ɡ	TWAG
e ɪ̯ ɛ f	af
j u f o ʊ̯	UFO
h o ɹ d ɚ	hoarder
ɪ z ə b ɛ l ɪ n	isabelline
k ə n ʌ k	Canuck
ɑː ɹ k e ɪ a ɪ z	archaize
m ə m e ɪ l i ə n	mammalian
t͡ʃ ɛ s ə l	chessil
ɪ ɹ ɪ z ɪ s t ə b ə l	irresistible
k uː p ɪ ŋ	cooping
s ə s t e ɪ n ə b l i	sustainably
d e ɪ ɪ s t s	deists
v ɪ k t o ʊ ɹ i ɑ n ə	Victoriana
f ɛ ɹ ɚ	farer
d i n o ʊ	Dino
b l ɑː n t͡ʃ	blanch
iː	æ
d iː m a ɪ ɡ ɹ e ɪ t	demigrate
d ɪ k i	dicky
l ʌ s t ɚ l ə s	lusterless
æ l k ə m ɪ s t s	alchemists
j ɑː m ə t ə ʊ	Yamato
t ɹ ɛ f	tref
ɹ iː p ɹ ə d ʌ k ʃ ə n	reproduction
n ɛ s t ɪ ŋ	nesting
k ɹ æ k s	cracks
m æ l v ə z i ə	malvasia
d ɒ l ɪ k ə ʊ f æ l ɪ k	dolichophallic
t͡s ɑ ŋ t͡s o ʊ	Zhangzhou
ɛ k s f iː t e ɪ ʃ ə n	exfetation
s t æ m ɪ n ə l	staminal
ɔ ɹ i o ʊ l	aureole
ə ɹ a ɪ t	aright
h ɔ ɹ d	hoard
m ɪ s t ɹ ə ʊ	mistrow
ə b ɛ t s	abets
ɹ æ k u n	raccoon
d ʌ n ə ɹ t	dunnart
s p ɑː d	spaad
d z ʊ ŋ ɡ ɛ ə ɹ i ə	Dzungaria
b ə l iː f	belief
f l æ p ɪ ŋ z	flappings
ɛ s k ɑ ɹ ɡ o ʊ	escargot
n iː ɒ ɡ ɹ ə f i	neography
p ɑ n d ɚ ə s	ponderous
ɔ ɪ	oe
b ɑ ɹ ɛ n	Baren
p ɹ i t͡ʃ ɚ	preacher
b ɹ uː z ɪ ŋ	bruising
f ɪ k s ɪ d n ə s	fixedness
j uː v ə	uva
s æ l k ə t o ʊ n ɪ n	salcatonin
f æ ʃ ə n	fashion
d͡ʒ u d iː ə n	Judean
ɡ ɹ æ n d p ɛ ə ɹ ə n t	grandparent
v ɔ ɪ s ɪ ŋ	voicing
ɹ ɑ n d ə	Rhonda
f ɑ ɹ m z	farms
ɪ n s ʊ l ə	insula
k æ p ə	cappa
m ɑ ɹ t n̩	Martin
æ l d ʒ ɪ n e ɪ t	alginate
ɑ ɹ k ə t ɛ k t ɑ n ɪ k	architectonic
b ɪ ɡ æ n	began
h ɛ f ə l ʌ m p	heffalump
p ɚ s ɛ n t a ɪ l	percentile
l ʌ m b r ə k e ɪ l ɪ s	lumbricalis
ɡ ə l ɪ ʃ ə n	Galician
θ iː ɪ n ɪ z ə m	theinism
d͡ʒ ɑ ŋ j ɪ n	Jiangyin
s t ɛ ɪ ʃ ə n d	stationed
s l ɒ b	slob
ɝ θ s k ɹ e ɪ p ɚ	earthscraper
d͡ʒ æ b ɪ ŋ	jabbing
f ɚ ɡ ɪ v n ə s	forgiveness
s ɛ t iː	settee
f o ʊ n o ʊ t æ k t ɪ k s	phonotactics
s iː s t	ceased
ɪ n t ɚ æ k ʃ ə n	interaction
ɛ m b l ə m	emblem
k ɑ ŋ ɡ r ə ɡ e ɪ ʃ ə n ə l ɪ s t ɪ k	congregationalistic
n æ s t i	nasty
b æ l ə n s	balance
ɛ f ɪ ŋ	effing
s ɝ ʃ ə	Saoirse
p j uː z	pews
j uː d͡ʒ	yuge
ð iː	the
ə m ɒ k	amok
ɹ æ m b ə l	ramble
p ə ʊ s t p ɑː ɹ t ə m	postpartum
ɪ n t ɛ n ʃ ə n	intension
ə p ɪ n d ɪ k s	appendix
k ə m p æ ɹ ɪ s ə n	comparison
h o ʊ m o ʊ	homo
k ɪ ɹ i z	Keres
k o ʊ w ɝ k ɚ	coworker
æ ŋ ɡ l ə f ɪ l ɪ k	Anglophilic
m æ r ə n a ɪ t	Maronite
b ə ɹ iː d	bourride
ɑ p o ʊ	oppo
ɔ ɹ ɪ̈ n d͡ʒ	orange
p l e ɪ s t e ɪ ʃ ə n	PlayStation
k w ɑ ʃ	quash
b ɹ ɪ t͡ʃ ɪ ŋ	breeching
k ə ɹ o ʊ ʒ ə n	corrosion
ɪ n t ɚ m i d i ɛ ɹ i	intermediary
ɹ ɪ n ɪ ɡ	renege
k w ɒ d ɹ ɑ v a ɪ d͡ʒ ɛ s ɪ m ə l	quadravigesimal
b ɑ m	bomb
f ə n iː m ɪ s a ɪ z	phonemicize
